#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
41000,40.99999999999515,-549732.1865563458,110324.9887981874,-439407.1977581584,298.80492936552685,434.831863872214,1.0127337416631312
42000,41.999999999992816,-549405.7227703938,110851.15758595604,-438554.5651844378,300.23000839047154,433.4043318257893,1.0160694486797854
43000,42.999999999990486,-549412.87642544,110665.29622305353,-438747.5802023864,299.726620245874,431.70950940144877,1.0200583746793481
44000,43.999999999988155,-549650.9655684452,110902.51630450287,-438748.4492639423,300.36910868347735,433.25625255405356,1.016416723123274
45000,44.999999999985825,-550047.675296687,110949.97947555553,-439097.6958211315,300.49765824988424,432.81539869551864,1.0174520172362347
46000,45.999999999983494,-549945.8540700804,110072.4211623169,-439873.4329077635,298.1208735100184,434.3566581976878,1.0138417178199133
47000,46.99999999998116,-549581.9099305924,111509.72192109402,-438072.1880094984,302.0136683915935,434.64820418025477,1.0131616701930128
48000,47.99999999997883,-548895.6400928851,110447.4818676007,-438448.1582252844,299.1366904049117,434.5386621008192,1.0134170763187205
49000,48.9999999999765,-550656.7267182809,110743.7863163139,-439912.94040196703,299.93920333360455,433.5903281265412,1.0156335875765687
50000,49.99999999997417,-549333.364334539,110811.49148724438,-438521.87284729467,300.12257646636385,433.7938718513944,1.015157034409464
